alcaldia,colonia,codigo_postal,tipo_poblacion,ult_grado_estudios,estatus_estudios,categoria_profesion,profesion,estado_civil,dependientes_economicos,num_dependientes_economicos,tiempo_buscando_empleo,estatus
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,7110,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,7110,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,PEDAGOGIA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,7110,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,6 MESES A 1 AÑO,APROBADO
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,7110,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,7110,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,NO APROBADO
GUSTAVO A MADERO,LOMAS DE CUAUTEPEC,7110,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LA ERA,1860,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LA ERA,1860,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LOS ANGELES DEL PUEBLO TETELPAN,1790,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LOS ANGELES DEL PUEBLO TETELPAN,1790,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LOS CEDROS,1870,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LOS CEDROS,1870,POBLACION GENERAL,POSGRADO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE LOS CEDROS,1870,POBLACION GENERAL,TECNICA/COMERCIAL,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE MEMETLA,5330,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE PADIERNA,14240,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE PADIERNA,14240,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE PADIERNA,14240,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LOMAS DE PADIERNA,14240,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE PADIERNA,14240,POBLACION GENERAL,SECUNDARIA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE PADIERNA SUR,14740,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE PLATEROS,1480,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE SAN LORENZO,9780,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LOMAS DE SANTA CRUZ,9709,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE SOTELO,11200,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE SOTELO,11200,POB. PERSONAS LOCATARIAS Y TRABAJADORES DE MERCADOS PUBLICOS,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE TARANGO,1620,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DE ZARAGOZA,9620,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS DEL PEDREGAL,14220,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS HERMOSA,11200,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOMAS HERMOSA,11200,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LOMAS QUEBRADAS,10000,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LOMAS QUEBRADAS,10000,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LORENZO BOTURINI,15820,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS ANGELES,SIN DATO,POB. PRIOR. VICTIMAS DE DELITO,LICENCIATURA,CONCLUIDO,Profesionistas,FOTOGRAFO,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,LOS ANGELES,9830,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS CIPRESES,4830,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS MIRASOLES,9910,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS MIRASOLES,9910,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LOS OLIVOS,13210,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS OLIVOS,13210,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS PADRES,10340,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS PADRES,10340,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS REYES,13080,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LOS REYES,13080,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LOS VOLCANES,14440,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,LICENCIATURA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,NINGUNO,NA,NA,NA,PERSONA CASADA,CON DEPENDIENTES,3,0 A 3 MESES,NO APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,NINGUNO,NA,NA,NA,PERSONA CASADA,SIN DEPENDIENTES,0,0 A 3 MESES,NO APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,NO APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,SECUNDARIA,TRUNCO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,3,0 A 3 MESES,NO APROBADO
GUSTAVO A MADERO,LUIS DONALDO COLOSIO,7164,POB. PRIOR. INDIGENAS,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,7760,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,7760,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,7760,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,7760,POBLACION GENERAL PROCURADURIA,BACHILLERATO,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,7760,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MAGDALENA DE LAS SALINAS,7760,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,DESARROLLO AGROPECUARIO,PERSONA SOLTERA,CON DEPENDIENTES,2,3 A 6 MESES,APROBADO
GUSTAVO A MADERO,MAGDALENA MIXIUHCA,15850,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MAGDALENA MIXIUHCA,15850,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Otros,ADMINISTRACION Y GESTION,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MALACATES,7119,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,6 MESES A 1 AÑO,APROBADO
GUSTAVO A MADERO,MANZANASTITLA,5270,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MARIA G. DE GARCIA RUIZ,1160,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,3 A 6 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POB. PRIOR. PRE Y LIBERADOS,BACHILLERATO,TRUNCO,Profesionistas,TECNICO EN INFORMATICA,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,LICENCIADO EN DERECHO,PERSONA SOLTERA,CON DEPENDIENTES,2,3 A 6 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,6 MESES A 1 AÑO,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL PROCURADURIA,LICENCIATURA,TRUNCO,Otros,LIC ADMINISTRACION,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,SIN DATO,POB. VUL. INDIGENAS,NA,NA,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,POSGRADO,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POB. VUL. INDIGENAS,PRIMARIA,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,5,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POB. PRIOR. INDIGENAS,PRIMARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL PROCURADURIA,PRIMARIA,TRUNCO,NA,NA,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Comercio,TRABAJADORES EN PREPARACION Y SERVICIO DE ALIMENTOS Y BEBIDAS EN ESTABLECIMIENTOS,PERSONA CASADA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,3 A 6 MESES,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,SIN DEPENDIENTES,0,6 MESES A 1 AÑO,APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIN CARRERA,7070,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,Otros,SECRETARIA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Otros,ADMINISTRACION DE EMPRESAS,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Otros,ADMINISTRACION,PERSONA CASADA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,NA,NA,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,SECUNDARIA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
GUSTAVO A MADERO,MARTIRES DE RIO BLANCO,7880,POB. PRIORITARIA AGRICULTORES AFECTADO,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MATIAS ROMERO,7248,POBLACION GENERAL PROCURADURIA,LICENCIATURA,CONCLUIDO,Otros,ADMINISTRACION,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
GUSTAVO A MADERO,MAXIMINO AVILA CAMACHO,7380,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,3 A 6 MESES,APROBADO
GUSTAVO A MADERO,MAXIMINO AVILA CAMACHO,7380,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MAXIMINO AVILA CAMACHO,7380,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MAXIMINO AVILA CAMACHO,7380,POBLACION GENERAL,PRIMARIA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
GUSTAVO A MADERO,MAZA,6270,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,MESA DE LOS HORNOS,14420,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MEXICO NUEVO,11260,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL DE LA MADRID HURTADO,9698,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
GUSTAVO A MADERO,MIGUEL GAONA ARMENTA,1500,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO,13200,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO,13200,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO,13200,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO 1A SECCION,14260,POB. PERSONAS LOCATARIAS Y TRABAJADORES DE MERCADOS PUBLICOS,PRIMARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO 2A SECCION,14250,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO 3A SECCION,14250,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO 3A SECCION,14250,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO 4A SECCION,14250,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIGUEL HIDALGO 4A SECCION,14250,POB. PERSONAS LOCATARIAS Y TRABAJADORES DE MERCADOS PUBLICOS,PRIMARIA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MINAS CRISTO REY,1419,POB. PERSONAS LOCATARIAS Y TRABAJADORES DE MERCADOS PUBLICOS,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIRAVALLES,9696,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIRAVALLES,9696,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIXCOAC,3910,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MIXCOATL,9708,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MOCTEZUMA 2A SECCION,15530,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MOCTEZUMA 2A SECCION,15530,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MOCTEZUMA 2A SECCION,15530,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MOCTEZUMA 2A SECCION,15530,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MOLINO DE ROSAS,1470,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
GUSTAVO A MADERO,MORELOS,15270,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,SIN DEPENDIENTES,0,NA,NO APROBADO
